Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_TS,Pickup_TS,Return_TS,City,Pickup_Lat,Pickup_Lon,Drop_Lat,Drop_Lon,Payment,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag,Rate,Promo_Code,GST_Amount,Total_Amount,Rate_Plan,Driver_License,Notes,Customer_Feedback
RES-00001,C1434,car-18,Luxury,2026-03-22 13:01,23-03-2026 03:01,2026-03-24 18:01,Kolkata,22.57622,88.345171,22.556348,88.353206,upi,"30,179km","30,857 km",93 %,15.505045,85.73534,165 kmh,3,0,1500/day,BOGUS99,75.0,1575.0,standard,INVALID,Scratch on windows,Good mileage
RES-00002,C2584, CAR-12,SUV,2026-02-25 11:17,2026/02/27 18:17,2026-03-01 14:17,delhi,28.690319,77.120789,28.697564,77.08621,UPI,41908km,41829,90 %,17.1024,80.326587,92,2,0,800,,,840.0,standard,INVALID,Bad Seats Quality,Good mileage
RES-00003,C2307,car-28,Economy,2026-02-26 18:07,2026-02-28 17:07:00,2026-03-04 00:07,Chennai,13.090883,80.252533,13.071816,80.262276,card,"100,504 km","101,678km",94%,26.9,81.05781,85,5,0,2500,BOGUS99,,2625.0,eco,DL12345,scratch on door,Good mileage
RES-00004,C9751,car-24,Compact,2026-02-04 11:40,05-02-2026 14:40,2026-02-09 12:40,kolkata,22.580673,88.371242,22.555456,88.369299,card,"66,049km","67,079 km",7%,16.36,86.3787,81,4,0,2500,BOGUS99,125.0,2625.0,eco,INVALID,scratch on door,Smooth going
RES-00005,C6155,CAR-07 ,Luxury,2026-02-18 00:59,18/02/2026 08:59,2026-02-21 23:59,Mumbai,19.088202,72.873747,19.058648,72.894225,wallet,"41,765km",42647km,0.40,19.9174,87.728123,97,1,0,1200/day,BOGUS99,,1260.0,premium,DL12345,Speakers not working,Smooth going
RES-00006,C9348,CAR-16,Economy,2026-02-25 07:16,2026-02-28 04:16,2026-03-06 07:16,delhi,28.720013,77.098476,28.692873,77.122402,UPI,41155km,"41,551 km",0.41,16.70143,72.632598,121 kmh,6,0,₹2000/day,DISC15,100.0,2100.0,standard,DL90871,Scratch on windows,Smooth going
RES-00007,C2876,CAR 22,SUV,2026-01-18 19:10,2026-01-20 20:10:00,2026-01-25 02:10,CHENNAI,13.083865,80.289543,13.097131,80.251159,wallet,"116,094km","117,535 km",26%,27.18,76.668783,58,3,0,₹2500/day,BOGUS99,125.0,2625.0,standard,DL90871,Speakers not working,Smooth going
RES-00008,C9317,car-20,Compact,2026-02-11 17:18,2026-02-13 03:18:00,2026-02-13 07:18,Chennai,13.083007,80.254956,13.087712,80.284367,Card,65104,66777,0.94,22.66,80.7361,58,5,0,1000/day,,50.0,1050.0,premium,DL90871,Contact Rahul 9876543210,Good mileage
RES-00009,C4923,car-02,Economy,2026-01-19 23:49,21/01/2026 17:49,2026-01-28 06:49,Hyderabad,17.369475,78.481219,17.404413,78.498971,UPI,64700km,"64,884km",92 %,22.0491,85.280652,89,0,0,1200/day,BOGUS99,,1260.0,eco,DL67543,Bad Seats Quality,email test@gmail.com
RES-00010,C9835,car-25,SUV,2026-03-01 13:48,04/03/2026 02:48,2026-03-05 14:48,Chennai,13.073302,80.285597,13.079626,80.259172,card,118063,118493,23%,13.0884,78.6396,176 kmh,4,0,"₹ 2,000 /day",SAVE10,100.0,2100.0,standard,DL67543,scratch on door,good service
RES-00011,C1117,CAR-03,Compact,2026-03-27 04:23,2026-03-27 20:23:00,2026-04-01 19:23,Mumbai,19.058561,72.858541,19.078157,72.881238,UPI,68559,68669km,8 %,21.822,73.659421,146 kmh,6,0,800,,40.0,840.0,premium,DL90871,Speakers not working,Good mileage
RES-00012,C8749,CAR-26 ,Compact,2026-01-02 19:04,05/01/2026 10:04,2026-01-12 17:04,Mumbai,19.084934,72.892995,19.079048,72.86742,UPI,"35,207km",36212,28 %,19.613034,79.2758,154 kmh,6,0,1500/day,BOGUS99,75.0,1575.0,premium,DL67543,Speakers not working,good service
RES-00013,C4139,CAR 07,Luxury,2026-01-13 14:27,13-01-2026 21:27,2026-01-19 00:27,Kolkata,22.555025,88.373029,22.584624,88.348271,upi,"7,360 km","8,998km",0.66,17.5088,76.11,51,0,1,₹800/day,DISC15,40.0,840.0,standard,DL90871,Contact Rahul 9876543210,Smooth going
RES-00014,C4872,CAR-06 ,Luxury,2026-02-21 20:17,2026-02-24 05:17:00,2026-02-25 04:17,Chennai,13.064724,80.290671,13.096141,80.28946,card,87128,"87,520 km",0.28,23.391752,75.4864,89,4,0,2500,,125.0,2625.0,standard,INVALID,Bad Seats Quality,Good mileage
RES-00015,C8973,car-05,SUV,2026-01-26 10:57,2026/01/28 12:57,2026-01-28 16:57,delhi,28.69551,77.110364,28.71332,77.113834,upi,49723,50754,0.4,15.283236,82.5648,177 kmh,1,0,1200,SAVE10,60.0,1260.0,eco,DL12345,Scratch on windows,Good mileage
RES-00016,C2312,car-28,Economy,2026-01-08 10:47,08/01/2026 18:47,2026-01-12 06:47,BENGALURU,12.971714,77.608709,12.957897,77.613031,cash,"73,899 km","73,816km",98 %,12.18,84.79,95,4,0,₹1200/day,SAVE10,60.0,1260.0,eco,DL67543,Bad Seats Quality,email test@gmail.com
RES-00017,C5272, CAR-07,Compact,2026-01-08 13:55,2026-01-09 21:55,2026-01-16 02:55,Chennai,13.087475,80.267469,13.086047,80.271611,Card,85976km,86601,0.93,24.4461,73.0516,153 kmh,6,0,2000,DISC15,100.0,2100.0,eco,DL90871,Contact Rahul 9876543210,Good speaker
RES-00018,C9288,car-09,SUV,2026-02-19 18:42,20-02-2026 04:42,2026-02-28 08:42,BENGALURU,12.976446,77.59712,12.955599,77.596105,UPI,55343km,55765,11 %,26.98,75.03,125 kmh,3,0,₹1000/day,BOGUS99,50.0,1050.0,premium,DL12345,Speakers not working,Smooth going
RES-00019,C3200,CAR-09,Economy,2026-01-30 20:18,2026-02-01 11:18,2026-02-07 10:18,Chennai,13.089415,80.272884,13.09997,80.254843,wallet,"29,202 km","30,433 km",0.13,18.55,85.19,71,0,0,"₹ 1,500 /day",,,1575.0,premium,DL12345,Speakers not working,Good speaker
RES-00020,C7939, CAR-27,Economy,2026-03-10 08:17,12-03-2026 04:17,2026-03-19 23:17,mumbai,19.076216,72.867745,19.092326,72.859732,UPI,62263,62312km,77%,16.1701,85.5175,64,1,0,"₹ 1,000 /day",SAVE10,50.0,1050.0,premium,DL67543,scratch on door,Smooth going
RES-00021,C3442,CAR-18,SUV,2026-02-09 05:40,12-02-2026 04:40,2026-02-17 01:40,kolkata,22.575036,88.348375,22.590402,88.371541,cash,"31,793 km","33,521 km",0.4,15.83,84.61,88,4,0,1000,SAVE10,50.0,1050.0,eco,DL90871,Contact Rahul 9876543210,good service
RES-00022,C7658,car-20,Compact,2026-03-11 22:27,2026-03-12 04:27,2026-03-16 05:27,Delhi,28.711383,77.109177,28.698247,77.104895,upi,53503km,"53,638km",30 %,18.99,77.990142,134 kmh,2,0,₹800/day,,40.0,840.0,standard,DL90871,Contact Rahul 9876543210,Good mileage
